Record_ID,Supplier_ID,Supplier_Name,Supplier_Country,Supplier_Region,Warehouse_Location,Product_Category,Product_Type,SKU,Product_Value_USD,Lead_Time_Days,Order_Quantity,Stock_Level,Reorder_Point,Safety_Stock,Inventory_Turnover,On_Time_Delivery_Rate,Quality_Rating,Defect_Rate_Percent,Supplier_Responsiveness_Score,Supplier_Capacity_Utilization,Financial_Stability_Score,Transportation_Mode,Carrier_Name,Shipping_Time_Days,Customs_Clearance_Time_Days,Transportation_Cost_USD,Geopolitical_Risk_Score,Weather_Risk_Score,Demand_Volatility,Supply_Volatility,Port_Congestion_Level,Supplier_Dependency_Score,Alternative_Suppliers_Available,Single_Source_Risk,Historical_Disruptions_Count,Average_Delay_Days,Contract_Compliance_Rate,Communication_Response_Time_Hours,Total_Annual_Spend_USD,Payment_Terms_Days,Price_Volatility_Percent,Production_Dependency_Level,Customer_Impact_Score,Revenue_At_Risk_USD,Disruption_Risk,Date,Disruption_Probability
SC00150,SUP008,Prime Materials Co,Thailand,Asia-Pacific,Seattle,Industrial Equipment,Raw Material,SKU7755,142930.0,49,371,3040,1354,1029,4.01,86.66,78.93,6.54,70.0,59.1,73.6,Rail,Maersk,10,7,44757.52,1.6,1.3,3.5,5.6,9.5,1.4,3,No,6,19.1,95.35,32.3,1574321.35,45,19.19,Low,9.6,734323.41,0,2025-06-11,37.26
SC00151,SUP010,Euro Distributors,China,Latin America,Chicago,Pharmaceuticals,Semi-Finished,SKU1587,454591.61,48,3611,1462,1822,1327,4.04,97.93,93.21,7.16,80.4,65.1,56.8,Road Transport,Maersk,35,3,25144.52,10.0,0.9,6.4,1.9,7.0,5.5,0,No,4,13.5,88.06,37.8,1429210.25,60,1.78,Medium,7.7,727012.45,1,2025-04-09,45.14
SC00152,SUP041,Prime Materials Co,Thailand,Latin America,Phoenix,Raw Materials,Semi-Finished,SKU9996,123583.14,9,1871,4676,1953,932,2.1,92.16,85.72,6.83,96.4,52.5,60.9,Multimodal,UPS,23,4,42169.53,1.8,5.9,7.5,4.5,0.4,2.7,4,No,8,11.0,83.62,38.0,1997568.36,60,23.05,Low,9.1,425068.17,0,2025-11-18,29.95
SC00153,SUP011,Express Logistics,South Korea,Asia-Pacific,Houston,Automotive Parts,Finished Good,SKU1002,76722.96,10,9554,1584,1183,1154,6.37,69.48,70.81,5.39,91.4,73.4,95.4,Multimodal,Kuehne+Nagel,8,6,40166.93,5.0,5.3,6.8,6.0,9.1,0.7,0,No,8,0.1,82.24,39.3,702667.35,45,1.27,Critical,2.3,924785.91,1,2025-07-14,40.46
SC00154,SUP044,Pacific Traders,Japan,Latin America,Boston,Textiles,Component,SKU2489,247279.12,30,4461,482,504,936,10.83,77.16,65.86,1.1,79.5,92.7,52.4,Air Freight,FedEx,28,7,20819.99,8.5,2.7,2.0,3.3,4.8,0.5,1,Yes,9,0.8,84.92,37.8,2563034.93,60,11.98,Medium,2.0,166977.88,1,2024-07-03,39.02
SC00155,SUP028,Euro Distributors,India,Europe,Seattle,Electronics,Finished Good,SKU5990,492896.97,58,7169,3179,570,1025,2.52,80.24,77.7,2.21,97.8,96.7,92.4,Sea Freight,DB Schenker,23,9,11889.18,0.2,9.0,4.9,7.8,4.6,1.2,0,Yes,9,4.0,71.21,1.6,3477579.74,30,18.08,Medium,0.1,267337.56,1,2024-01-20,36.39
SC00156,SUP039,Acme Corp,Thailand,Europe,Seattle,Industrial Equipment,Assembly,SKU9328,124817.36,8,1020,1249,1052,1499,3.91,78.86,84.13,0.37,62.3,96.6,41.8,Rail,XPO Logistics,4,6,20601.07,6.0,9.3,7.9,8.4,5.7,0.7,0,No,1,3.7,96.78,1.1,3169418.57,45,9.83,High,7.1,63224.34,1,2025-10-04,32.85
SC00157,SUP005,Pacific Traders,Mexico,Asia-Pacific,Los Angeles,Automotive Parts,Semi-Finished,SKU4389,337707.1,23,8290,4768,583,1467,5.1,88.43,94.39,7.45,97.2,56.3,45.5,Air Freight,Kuehne+Nagel,14,1,41397.76,2.8,4.0,4.8,3.2,1.5,7.6,4,Yes,3,5.1,99.95,7.9,4028586.99,45,5.43,Critical,9.4,795450.96,0,2025-12-21,30.1
SC00158,SUP025,Mega Manufacturing,India,Europe,Phoenix,Automotive Parts,Finished Good,SKU8474,382001.71,24,3530,630,644,542,9.32,96.22,69.46,5.29,62.0,69.1,91.3,Air Freight,FedEx,42,3,11767.81,8.6,8.9,5.4,8.4,4.7,4.9,3,No,7,6.1,75.44,8.2,2287441.03,45,18.98,High,1.9,621759.39,1,2025-06-12,49.49
SC00159,SUP025,Quantum Materials,India,Asia-Pacific,Denver,Consumer Goods,Assembly,SKU6584,122630.58,37,4535,661,624,174,8.41,75.71,93.01,5.97,81.9,51.4,77.8,Sea Freight,UPS,29,9,26459.6,2.8,3.8,7.7,1.0,8.3,3.4,3,No,12,7.2,73.61,51.0,2619504.07,30,19.61,High,6.4,314940.31,1,2024-07-10,34.17
SC00160,SUP039,Quantum Materials,Thailand,Europe,Chicago,Automotive Parts,Component,SKU6953,365467.09,24,3860,3503,360,656,6.16,84.32,95.21,2.49,95.6,92.8,84.8,Rail,UPS,1,0,40401.79,6.9,7.4,6.6,8.4,0.2,4.2,4,No,13,8.4,74.31,15.5,4061489.61,45,23.07,Medium,7.5,163813.66,0,2025-08-13,47.67
SC00161,SUP030,Pacific Traders,Japan,North America,Boston,Chemicals,Component,SKU1889,187052.65,53,2150,2852,1401,1278,9.59,92.63,70.27,6.77,70.5,67.9,52.6,Multimodal,Kuehne+Nagel,4,9,17997.14,6.7,4.8,4.1,1.5,2.7,9.3,4,Yes,0,2.0,89.83,64.5,2167120.8,90,9.4,High,9.3,40147.77,1,2025-05-26,36.19
SC00162,SUP034,Nexus Logistics,Germany,Asia-Pacific,Phoenix,Consumer Goods,Raw Material,SKU4652,317991.39,16,1265,2466,828,462,8.1,79.57,94.81,2.08,78.9,81.6,72.2,Rail,DB Schenker,32,8,32289.38,2.2,1.2,9.0,0.8,0.0,9.1,4,No,12,0.8,89.84,66.9,3522916.78,90,12.66,Critical,6.5,166745.57,0,2024-08-06,22.69
SC00163,SUP017,Tech Components Ltd,USA,Europe,Dallas,Textiles,Assembly,SKU8445,318597.21,51,8667,987,1931,547,10.96,70.88,99.7,0.01,73.0,85.7,84.2,Air Freight,UPS,33,2,12658.76,0.3,9.3,1.6,6.4,4.2,7.2,1,No,14,13.5,95.44,70.3,2201281.73,90,9.08,Low,9.7,453284.65,1,2025-11-07,34.34
SC00164,SUP036,Euro Distributors,China,North America,Los Angeles,Food & Beverage,Assembly,SKU6439,270208.47,5,2133,1546,1094,1357,10.18,81.62,90.44,3.01,98.1,71.5,77.6,Air Freight,XPO Logistics,26,2,5909.33,4.1,4.5,10.0,4.7,7.3,8.8,2,Yes,4,10.7,92.55,67.7,2117794.16,45,6.43,High,3.4,247176.97,0,2025-04-23,27.43
SC00165,SUP001,Tech Components Ltd,Japan,Asia-Pacific,Atlanta,Automotive Parts,Finished Good,SKU8751,49693.44,30,6567,649,689,361,4.53,66.93,92.47,4.57,92.9,65.3,68.3,Road Transport,DB Schenker,17,9,39822.02,2.9,7.3,1.2,9.1,8.0,3.2,0,Yes,7,8.9,83.49,20.3,3813017.84,45,18.78,High,3.5,258982.18,1,2024-10-01,43.66
SC00166,SUP044,Velocity Suppliers,South Korea,Europe,Boston,Industrial Equipment,Semi-Finished,SKU6952,418474.74,18,245,968,1216,224,4.71,97.98,99.8,3.83,88.4,98.1,97.6,Sea Freight,DB Schenker,39,8,5398.95,8.1,3.7,0.1,3.6,9.5,3.8,4,No,1,12.7,88.39,37.2,915442.73,45,8.49,Medium,5.4,875576.37,0,2025-10-15,32.39
SC00167,SUP047,Asia Sourcing,China,Europe,Phoenix,Textiles,Semi-Finished,SKU8414,163786.13,42,4488,2637,526,1010,3.25,67.62,86.19,6.9,83.5,98.2,80.6,Road Transport,DB Schenker,23,9,13933.38,8.0,0.2,8.9,2.9,6.1,6.1,4,Yes,1,16.6,90.65,13.5,1726000.56,30,10.7,Medium,3.8,515137.67,1,2025-06-29,44.09
SC00168,SUP008,Acme Corp,Thailand,North America,Atlanta,Textiles,Raw Material,SKU2868,97326.66,41,7932,1100,797,344,5.37,80.35,75.78,0.84,92.8,64.5,94.5,Air Freight,DB Schenker,32,2,42827.92,4.6,1.0,2.4,5.0,2.5,6.2,4,No,12,8.6,85.38,58.2,1159652.77,90,10.09,Medium,0.0,729251.97,0,2025-09-21,37.24
SC00169,SUP044,Pacific Traders,Mexico,Latin America,Boston,Food & Beverage,Raw Material,SKU2596,25183.7,15,8723,440,1214,641,12.0,83.55,94.31,4.43,75.7,74.0,83.8,Multimodal,Kuehne+Nagel,15,7,17650.23,6.1,5.0,7.3,4.6,9.2,4.8,3,Yes,7,12.8,84.27,64.1,1827594.22,60,17.82,Low,7.3,35710.95,1,2025-03-20,36.76
SC00170,SUP035,Velocity Suppliers,Germany,Latin America,Boston,Raw Materials,Raw Material,SKU4633,297492.01,40,8996,769,488,584,6.06,99.49,86.51,4.1,77.9,98.6,84.1,Air Freight,Kuehne+Nagel,13,1,48665.74,6.0,6.9,8.1,3.4,7.8,4.0,4,No,9,19.1,89.35,61.4,1190355.37,60,22.94,Medium,7.5,365163.36,1,2025-08-02,37.01
SC00171,SUP049,Velocity Suppliers,USA,North America,Chicago,Raw Materials,Assembly,SKU1035,340394.36,17,8273,1343,792,221,4.2,70.81,85.34,2.25,89.2,50.2,44.8,Rail,DB Schenker,2,2,48996.85,8.3,3.3,8.6,6.9,5.7,9.9,0,No,11,16.8,86.72,31.8,2918057.87,45,16.67,Critical,7.5,479169.35,1,2025-10-03,46.94
SC00172,SUP018,Quantum Materials,Japan,North America,Seattle,Textiles,Component,SKU6592,13210.98,47,2732,4358,1887,224,9.62,69.01,73.88,6.58,74.3,70.6,61.6,Rail,Maersk,19,1,13779.66,4.3,7.0,9.9,7.6,7.0,8.2,4,No,8,8.5,89.32,54.9,4000945.47,30,11.79,Critical,3.5,186416.86,1,2024-03-02,49.97
SC00173,SUP050,Acme Corp,Mexico,Asia-Pacific,Boston,Pharmaceuticals,Component,SKU6818,258486.06,7,4594,3729,1796,269,7.42,65.3,91.47,6.02,62.6,55.0,91.5,Multimodal,Maersk,24,0,2528.42,2.8,7.0,2.9,8.5,9.2,4.3,0,No,6,12.9,88.39,7.9,3943734.65,45,19.48,Medium,5.2,120191.54,1,2025-06-18,40.3
SC00174,SUP042,Global Supplies Inc,Vietnam,Latin America,Chicago,Industrial Equipment,Finished Good,SKU5783,117115.41,37,8156,3906,772,223,3.5,70.45,67.86,5.86,63.0,75.5,54.0,Multimodal,Kuehne+Nagel,24,1,35400.63,2.7,7.0,7.1,9.7,7.1,7.3,1,Yes,7,3.5,91.58,3.9,1854279.77,60,16.02,Medium,3.6,870303.78,1,2024-07-24,46.92
SC00175,SUP022,Quantum Materials,Germany,Asia-Pacific,Phoenix,Chemicals,Semi-Finished,SKU9973,324360.53,10,7611,1577,1577,1158,5.81,72.25,97.35,7.01,64.6,51.2,46.9,Road Transport,COSCO,11,7,22823.83,5.4,4.9,1.2,2.7,3.7,2.7,2,Yes,4,11.2,89.28,54.5,4944364.01,90,1.52,Low,0.2,939431.63,1,2025-01-08,34.67
SC00176,SUP008,Pacific Traders,India,Europe,Dallas,Food & Beverage,Semi-Finished,SKU9552,91311.38,54,9255,4008,227,1210,6.14,87.07,76.4,5.78,94.8,70.3,59.6,Multimodal,DB Schenker,22,8,5487.27,4.5,9.1,4.1,7.2,7.1,1.0,3,Yes,0,19.6,85.59,31.2,2989579.11,60,2.39,Low,5.6,78806.7,1,2025-04-18,41.57
SC00177,SUP019,Tech Components Ltd,Germany,North America,Houston,Food & Beverage,Finished Good,SKU7125,347014.18,14,1928,3351,1153,745,9.54,72.69,69.47,1.85,78.9,61.0,53.2,Air Freight,XPO Logistics,15,1,35522.38,4.4,4.9,8.5,3.9,0.4,3.5,0,No,3,10.4,90.45,71.7,2027031.49,90,0.95,Critical,1.2,349018.71,1,2024-05-31,27.02
SC00178,SUP028,Euro Distributors,Taiwan,Asia-Pacific,Houston,Chemicals,Assembly,SKU2741,196434.0,9,9230,4795,242,885,2.21,65.72,80.48,5.64,88.5,76.7,95.5,Sea Freight,XPO Logistics,10,6,2043.16,0.9,4.5,3.7,6.8,3.9,4.0,1,No,14,18.6,83.48,7.9,4185919.43,90,11.42,Low,0.8,958285.63,0,2024-09-03,38.48
SC00179,SUP011,Tech Components Ltd,Mexico,North America,Seattle,Electronics,Component,SKU1750,468681.34,27,4905,2349,1904,300,4.69,93.93,66.49,2.46,75.7,99.8,92.1,Rail,Kuehne+Nagel,41,4,43574.74,7.2,2.0,5.9,4.8,4.1,0.2,2,Yes,1,8.1,77.25,61.7,3662876.36,30,20.65,Medium,7.6,83161.73,0,2024-06-03,32.81
SC00180,SUP030,Acme Corp,Taiwan,Asia-Pacific,Chicago,Raw Materials,Raw Material,SKU3689,73072.87,14,906,3602,622,468,7.18,77.8,88.96,1.94,70.3,90.0,70.0,Rail,DHL,27,2,7363.3,2.1,3.1,5.0,9.9,1.7,8.1,2,No,2,20.0,70.04,35.1,3758912.92,60,7.83,Low,0.1,643641.37,0,2025-12-02,31.93
SC00181,SUP001,Express Logistics,Taiwan,Europe,Dallas,Food & Beverage,Component,SKU9067,173827.84,48,9755,1241,1821,896,4.69,77.38,96.59,0.58,73.9,92.3,43.7,Air Freight,DHL,9,8,6801.94,2.0,0.4,6.5,7.3,0.2,3.6,2,Yes,11,11.6,86.8,59.7,1020889.78,45,9.6,Medium,9.6,972221.37,1,2024-11-03,36.74
SC00182,SUP047,Pacific Traders,Japan,Europe,Los Angeles,Chemicals,Finished Good,SKU3301,61169.39,6,7586,1125,376,176,8.28,75.59,94.3,5.95,91.8,81.8,82.9,Sea Freight,COSCO,28,5,9195.78,4.1,6.3,9.7,9.5,1.3,5.8,0,No,2,0.8,87.72,59.0,2368205.32,30,22.74,Critical,5.2,978223.67,1,2025-03-21,40.22
SC00183,SUP047,Mega Manufacturing,Germany,Latin America,Phoenix,Raw Materials,Component,SKU7704,462723.34,17,8302,2601,728,158,6.82,99.14,69.46,5.69,85.0,52.1,77.4,Multimodal,DHL,1,0,48033.18,2.3,2.5,0.6,8.3,6.5,0.7,1,No,8,11.7,99.16,66.0,4316049.25,90,20.92,High,9.8,471223.33,0,2025-02-24,36.37
SC00184,SUP017,Prime Materials Co,Japan,Latin America,Boston,Pharmaceuticals,Raw Material,SKU2752,439282.98,44,1968,1190,1833,530,5.62,70.95,69.42,1.88,97.5,60.3,98.2,Road Transport,UPS,17,4,34811.88,5.8,3.0,5.7,9.0,8.0,1.7,4,No,12,5.5,80.84,22.1,2544988.14,60,16.63,Low,0.6,162749.11,1,2024-11-22,50.31
SC00185,SUP033,Euro Distributors,South Korea,Europe,Boston,Textiles,Semi-Finished,SKU5166,132681.11,6,7978,4131,1165,737,11.49,96.44,93.47,6.0,87.2,96.3,73.5,Sea Freight,COSCO,31,6,40167.89,3.7,7.7,8.6,8.1,9.9,8.9,1,Yes,14,0.6,81.82,68.4,3433091.08,45,6.67,Critical,5.8,202084.31,1,2024-03-06,41.85
SC00186,SUP049,Mega Manufacturing,Japan,Asia-Pacific,Phoenix,Consumer Goods,Finished Good,SKU4209,331692.1,24,5790,4839,1717,208,8.32,92.19,97.35,7.34,82.8,68.3,60.2,Air Freight,DHL,44,3,20182.93,4.5,3.3,4.8,4.6,3.5,6.1,1,Yes,9,16.4,76.05,11.8,2960271.98,30,2.93,Critical,3.5,889601.4,1,2025-10-11,39.46
SC00187,SUP012,Mega Manufacturing,Mexico,North America,Phoenix,Textiles,Assembly,SKU4072,409524.99,5,7927,4448,397,1107,3.3,67.68,81.12,0.86,84.4,55.2,71.1,Multimodal,COSCO,10,7,17147.48,5.4,2.4,0.8,2.5,6.0,9.5,1,Yes,14,5.5,72.12,6.8,4219666.1,45,0.4,Low,8.4,911683.0,0,2024-07-27,31.6
SC00188,SUP033,Pacific Traders,USA,Europe,Chicago,Consumer Goods,Component,SKU2978,279824.4,41,5529,72,809,1401,7.6,99.54,82.46,1.86,97.7,85.1,98.8,Multimodal,Maersk,37,9,12106.96,2.0,1.7,5.6,3.7,9.4,10.0,0,No,3,15.9,93.18,31.6,1458576.16,60,2.68,High,3.6,607879.64,1,2025-02-26,22.35
SC00189,SUP007,Express Logistics,South Korea,Europe,Boston,Food & Beverage,Component,SKU7437,267177.04,13,9176,1914,1800,167,9.81,74.5,76.14,6.0,91.5,65.0,81.8,Multimodal,Maersk,29,4,24292.08,1.6,7.7,3.3,0.2,1.7,3.7,0,Yes,1,5.8,77.49,59.8,2898602.63,45,7.31,Medium,2.6,766176.4,1,2024-09-30,19.22
SC00190,SUP041,Pacific Traders,USA,Asia-Pacific,Houston,Industrial Equipment,Assembly,SKU4532,124716.88,21,3664,2472,1041,1192,9.08,68.45,96.3,2.2,61.0,63.4,80.3,Sea Freight,DB Schenker,18,8,27815.52,8.8,1.3,1.5,5.2,7.2,3.0,0,No,2,3.9,88.27,34.6,660011.61,30,13.79,Critical,8.6,739931.25,1,2024-10-20,39.83
SC00191,SUP020,Express Logistics,Germany,Europe,Seattle,Chemicals,Assembly,SKU8488,51085.87,13,1489,3046,1052,1288,3.72,94.03,87.57,5.0,81.4,99.9,54.4,Multimodal,DHL,38,8,31772.85,4.3,4.5,8.5,5.1,7.5,8.6,1,No,2,19.5,90.63,59.9,3466543.34,45,1.6,Critical,3.7,661821.6,1,2025-10-23,29.68
SC00192,SUP041,Global Supplies Inc,India,Europe,Houston,Industrial Equipment,Raw Material,SKU4122,449121.8,15,7374,707,1740,404,11.72,89.73,75.09,0.65,87.5,92.9,84.6,Sea Freight,COSCO,39,8,13227.37,4.1,5.1,5.2,5.3,0.9,10.0,0,Yes,13,7.2,84.14,52.8,3673240.8,60,3.41,High,0.2,827276.95,1,2024-06-13,31.42
SC00193,SUP033,Euro Distributors,Vietnam,Asia-Pacific,Atlanta,Chemicals,Component,SKU6536,450706.94,19,924,1804,1737,773,6.49,86.6,75.46,3.62,89.9,70.4,85.0,Air Freight,UPS,6,0,47458.38,0.4,6.9,9.3,9.7,8.6,6.3,2,No,6,12.0,96.29,15.9,262044.74,30,4.53,Medium,3.9,685406.62,0,2024-09-19,32.87
SC00194,SUP039,Acme Corp,Taiwan,Europe,New York,Pharmaceuticals,Finished Good,SKU2765,318385.22,28,2365,3713,221,464,3.59,70.46,96.19,5.91,68.5,99.0,59.0,Road Transport,FedEx,40,1,8903.05,5.0,6.3,8.1,9.1,8.1,8.0,0,Yes,7,12.2,83.31,68.4,3395165.27,90,15.8,Critical,6.5,534002.31,1,2025-12-04,49.01
SC00195,SUP013,Nexus Logistics,Mexico,Latin America,Dallas,Automotive Parts,Component,SKU7790,172819.75,42,1036,2564,1335,920,3.8,81.75,65.48,5.49,94.7,82.5,69.0,Sea Freight,DHL,12,2,48299.83,5.5,8.1,6.9,1.6,0.3,7.8,3,No,12,11.2,78.55,5.3,2102716.26,30,15.39,High,2.5,236956.36,1,2025-09-07,39.85
SC00196,SUP010,Asia Sourcing,USA,Latin America,Atlanta,Food & Beverage,Raw Material,SKU1761,177858.74,59,6502,2475,1280,442,2.98,92.32,76.3,6.52,98.2,87.1,57.7,Air Freight,XPO Logistics,14,3,1235.38,5.6,0.4,0.1,3.7,0.9,3.6,0,No,10,18.3,96.88,64.8,664279.54,60,13.77,Low,4.3,743888.14,1,2024-08-29,45.29
SC00197,SUP024,Acme Corp,Vietnam,Latin America,New York,Chemicals,Finished Good,SKU3018,364348.06,39,3945,3610,1289,1046,10.04,75.63,84.4,7.02,69.5,51.6,55.5,Sea Freight,DB Schenker,44,9,24315.72,7.1,3.0,4.3,4.2,0.5,5.7,0,Yes,12,13.5,95.85,22.6,2128542.36,45,6.26,High,0.6,473437.87,1,2025-02-19,50.45
SC00198,SUP049,Mega Manufacturing,China,Latin America,Phoenix,Electronics,Finished Good,SKU8381,449069.58,34,1896,4255,1041,998,3.22,75.91,70.19,6.19,95.3,56.1,41.6,Air Freight,UPS,10,8,17001.71,1.8,2.8,2.0,3.6,3.3,8.3,0,Yes,5,8.1,74.92,36.5,1011453.0,90,9.28,High,5.9,294791.68,1,2024-09-01,31.98
SC00199,SUP011,Prime Materials Co,Japan,Europe,Houston,Electronics,Finished Good,SKU8493,444107.78,35,8345,2823,297,1477,3.25,65.11,68.22,5.37,63.9,81.7,57.1,Road Transport,UPS,20,9,22731.61,2.5,1.5,9.1,8.0,5.1,6.9,0,No,3,17.2,70.78,31.0,2107019.68,90,2.42,Critical,7.6,801946.28,1,2024-04-26,40.52
SC00200,SUP035,Quantum Materials,Taiwan,North America,Los Angeles,Raw Materials,Raw Material,SKU9260,391038.4,53,7314,1735,1367,1232,10.5,71.1,93.53,0.25,62.2,95.0,73.2,Rail,COSCO,15,5,28747.9,8.1,2.9,1.7,5.2,5.3,0.2,3,No,5,3.6,72.7,13.2,1952478.19,45,5.66,Medium,4.1,696713.6,0,2024-06-02,42.44
SC00201,SUP050,Global Supplies Inc,USA,Latin America,Seattle,Food & Beverage,Component,SKU3205,322805.66,9,826,1585,634,861,5.45,95.64,96.3,4.28,65.2,81.2,40.1,Road Transport,DB Schenker,31,0,22061.66,9.5,3.1,2.9,5.7,2.7,3.4,4,No,12,10.9,78.6,26.4,3705038.6,60,22.44,Low,4.2,937339.56,1,2024-07-15,45.83
SC00202,SUP034,Quantum Materials,South Korea,Latin America,Boston,Electronics,Semi-Finished,SKU9172,46649.28,48,2836,66,836,440,2.31,80.46,93.83,0.3,62.3,56.7,57.0,Rail,Maersk,7,8,21034.92,1.4,5.2,5.2,8.5,9.1,1.4,0,Yes,10,19.0,99.17,14.7,3882367.01,30,24.49,High,0.9,165441.64,1,2024-01-29,36.15
SC00203,SUP001,Acme Corp,Mexico,Europe,Denver,Raw Materials,Finished Good,SKU1071,85006.21,54,2013,3061,1902,1041,2.52,99.45,96.46,6.46,93.8,55.8,92.9,Rail,Maersk,41,5,36769.81,5.0,6.6,2.6,8.1,3.7,2.3,2,Yes,0,12.5,86.76,15.5,3054791.84,60,16.19,Low,2.0,649189.28,0,2024-09-08,43.35
SC00204,SUP039,Acme Corp,Japan,Europe,Denver,Automotive Parts,Assembly,SKU9689,449784.32,18,9888,2428,1309,482,3.42,78.85,84.36,2.57,62.4,92.2,75.6,Multimodal,COSCO,10,3,34450.88,2.1,3.8,2.1,1.3,0.5,9.1,3,Yes,12,16.3,81.2,14.3,162299.87,90,22.92,Medium,1.5,244239.47,0,2024-11-13,24.57
SC00205,SUP021,Prime Materials Co,Thailand,Asia-Pacific,Los Angeles,Food & Beverage,Raw Material,SKU1795,305182.38,57,7757,4153,787,1103,4.13,90.03,93.43,4.5,70.9,57.0,76.5,Sea Freight,COSCO,10,3,41746.93,0.6,7.2,6.0,7.1,3.0,0.4,4,Yes,9,13.1,96.66,35.7,4658560.28,30,16.07,Low,4.8,903582.99,1,2025-04-20,37.73
SC00206,SUP032,Prime Materials Co,Vietnam,Latin America,New York,Food & Beverage,Finished Good,SKU8091,9552.54,15,2566,341,543,399,8.65,74.87,78.44,2.24,64.2,76.0,64.2,Multimodal,FedEx,39,2,12872.97,3.3,3.4,0.9,4.4,5.3,2.2,0,Yes,7,16.8,83.59,57.7,3446854.74,30,0.83,Low,5.3,99499.41,1,2025-05-12,28.82
SC00207,SUP002,Acme Corp,Mexico,Asia-Pacific,Houston,Electronics,Raw Material,SKU8912,55228.41,13,9141,2774,1517,238,3.57,77.73,88.32,6.26,71.8,51.9,80.6,Air Freight,Kuehne+Nagel,28,6,30671.66,1.4,2.9,0.6,2.9,4.1,3.1,4,Yes,0,18.9,79.46,41.4,219267.48,45,24.92,Critical,9.5,656161.81,0,2025-07-27,22.92
SC00208,SUP008,Velocity Suppliers,USA,Latin America,Denver,Textiles,Assembly,SKU9328,333433.38,38,7412,2817,770,458,3.19,71.68,99.61,7.09,63.6,54.0,51.4,Air Freight,Maersk,30,2,29467.14,7.1,5.4,3.7,0.5,2.7,6.2,2,Yes,14,5.5,98.24,64.4,4103222.85,60,2.47,Medium,0.7,791085.72,1,2025-03-22,45.65
SC00209,SUP024,Tech Components Ltd,India,North America,Phoenix,Consumer Goods,Finished Good,SKU3903,7505.48,16,8294,2661,1873,935,9.65,77.15,72.9,3.19,86.7,83.6,89.1,Air Freight,FedEx,37,1,18802.02,5.3,0.2,7.2,4.9,1.3,5.3,3,No,4,3.4,95.49,46.2,1041317.47,30,17.07,High,6.0,354917.84,0,2025-03-08,32.97
SC00210,SUP020,Prime Materials Co,South Korea,Europe,Houston,Automotive Parts,Component,SKU3845,84599.99,39,8006,1232,810,1403,8.71,84.15,78.65,6.9,65.3,84.5,47.0,Multimodal,DB Schenker,3,9,24559.85,1.4,0.8,5.5,3.6,8.2,2.2,3,No,1,9.7,95.31,49.9,2917144.89,45,6.32,Critical,5.3,954138.08,1,2025-10-24,29.17
SC00211,SUP016,Tech Components Ltd,China,Europe,Dallas,Industrial Equipment,Raw Material,SKU3103,276623.23,39,4976,3874,1927,582,6.35,99.71,81.8,2.14,94.1,67.1,79.4,Road Transport,XPO Logistics,43,7,16032.22,0.1,4.2,4.2,2.5,10.0,1.6,4,No,14,14.0,85.37,48.4,2359840.13,60,9.8,Critical,5.2,850730.68,0,2024-02-07,23.79
SC00212,SUP004,Euro Distributors,Thailand,Asia-Pacific,Houston,Automotive Parts,Finished Good,SKU2696,347488.12,5,7387,2401,442,1008,7.49,88.25,69.83,4.28,92.7,60.8,60.5,Multimodal,UPS,15,3,7521.3,8.1,9.4,5.7,6.9,3.3,2.4,0,No,5,4.5,93.68,32.9,2128201.97,90,16.15,High,8.7,294618.3,1,2024-07-25,40.97
SC00213,SUP016,Quantum Materials,Taiwan,Asia-Pacific,Atlanta,Industrial Equipment,Finished Good,SKU7347,327720.82,44,992,1494,760,1234,5.12,71.97,67.84,6.87,60.5,90.7,84.9,Multimodal,XPO Logistics,21,7,11083.16,1.8,7.2,3.7,7.7,3.8,5.0,1,Yes,8,0.1,75.38,49.9,4454082.91,90,10.91,Medium,2.1,7541.09,1,2024-06-12,44.64
SC00214,SUP037,Global Supplies Inc,Mexico,Europe,Seattle,Raw Materials,Raw Material,SKU6273,116013.31,26,4775,4211,1159,965,6.83,66.57,94.04,2.61,95.8,60.9,73.0,Road Transport,FedEx,37,0,5722.93,6.1,0.9,9.4,2.4,6.2,2.7,3,Yes,4,6.9,87.2,5.9,2214938.39,60,6.26,Low,0.4,296657.18,0,2024-10-06,32.45
SC00215,SUP006,Velocity Suppliers,Thailand,Europe,Los Angeles,Chemicals,Assembly,SKU9259,357528.71,33,2033,661,231,238,7.07,69.42,99.19,7.63,61.2,77.1,67.1,Road Transport,COSCO,12,4,34311.94,3.4,8.5,0.5,0.5,7.2,9.5,1,No,3,19.4,99.52,62.0,422953.38,30,8.36,Medium,6.7,281310.47,1,2024-05-19,31.23
SC00216,SUP006,Prime Materials Co,India,Europe,Houston,Industrial Equipment,Raw Material,SKU7302,122438.3,12,1480,3883,590,1095,5.87,84.69,79.17,0.98,69.6,98.4,50.2,Road Transport,DHL,4,8,33206.01,5.9,7.3,6.7,8.5,3.9,4.6,3,No,13,13.9,78.73,56.2,4735861.7,30,8.54,Medium,3.5,889964.61,1,2024-01-30,41.53
SC00217,SUP047,Euro Distributors,USA,Latin America,Houston,Raw Materials,Semi-Finished,SKU7859,166072.85,15,1390,3619,476,534,11.07,91.78,68.07,0.15,61.3,57.4,78.2,Sea Freight,Kuehne+Nagel,9,0,47555.02,3.2,6.1,8.9,0.1,9.0,0.6,0,No,1,8.0,93.83,18.4,4606649.39,90,23.98,Low,0.2,967121.18,0,2024-09-21,11.2
